ADM1_NAME,ADM2_NAME,year,hot_days_ge35,hot_days_ge40,mean_tmax_c
New South Wales,Wentworth (A),1982,43.40204452941904,8.395291106451214,24.57676139628865
Queensland,Cairns (R),1982,0.1436789480893028,0.0,24.864367346300703
Queensland,Cassowary Coast (R),1982,2.0008226583617343,0.0,25.320196299387515
Queensland,Charters Towers (R),1982,28.4612662966995,0.2491569528159103,28.116757002035
Queensland,Cook (S),1982,17.142333525928073,0.0,29.78875052643298
Queensland,Hinchinbrook (S),1982,3.019338959212377,0.0,25.861730946528606
Queensland,Tablelands (R),1982,29.308642767968603,0.0007775994292848223,28.907045145967206
Queensland,Townsville (C),1982,3.3340653662317536,0.0,27.10608254221231
Queensland,Etheridge (S),1982,33.60816188001778,0.030112585726657762,29.4793925116524
New South Wales,Armidale Dumaresq (A),1982,0.38356979859113005,0.0,19.810321685098085
New South Wales,Clarence Valley (A),1982,4.5156151485855975,0.0,22.82395969205211
New South Wales,Cooma-Monaro (A),1982,0.0831245729902072,0.0,17.05878429157156
New South Wales,Glen Innes Severn (A),1982,0.1429665951578302,0.0,19.947964627078406
New South Wales,Lithgow (C),1982,2.215948934639935,0.0,19.31260726961844
New South Wales,Mid-Western Regional (A),1982,3.8953961205889236,0.0,20.691185519215193
New South Wales,Oberon (A),1982,0.554180602006689,0.0,17.892086800036278
New South Wales,Palerang (A),1982,1.2197150558336538,0.0,18.4884451493891
New South Wales,Richmond Valley (A),1982,11.02996637918433,0.0,24.332181932379115
New South Wales,Tumut Shire (A),1982,0.5769396737723309,0.0,17.14859070700871
New South Wales,Upper Hunter Shire (A),1982,5.503144016227182,0.0,21.355864399921636
New South Wales,Warrumbungle Shire (A),1982,10.643612393762966,0.03580271699123336,22.620143154581182
New South Wales,Bega Valley (A),1982,2.102920227920228,0.0,19.039288546469134
New South Wales,Blue Mountains (C),1982,6.373871331828442,0.3016365688487585,20.458888902454536
New South Wales,Bombala (A),1982,1.1406926406926403,0.005116096025186931,17.547802357226022
New South Wales,Cabonne (A),1982,7.954661301140173,0.11026156941649899,21.18856485518668
New South Wales,Cessnock (C),1982,9.513043478260869,0.45113871635610764,22.136761291723765
New South Wales,Eurobodalla (A),1982,1.8888743455497383,0.0,19.701237588332692
New South Wales,Gloucester (A),1982,2.2295173181249126,0.0,21.024557012892526
New South Wales,Great Lakes (A),1982,2.0831784386617103,0.0,21.66317341586238
New South Wales,Greater Taree (C),1982,2.214363968350578,0.0,21.96833813153524
New South Wales,Guyra (A),1982,0.04876183191509703,0.0,19.249720577764837
New South Wales,Hawkesbury (C),1982,14.154488212036902,1.19475765119344,22.27161168436842
New South Wales,Inverell (A),1982,7.911988980174152,0.051409455404142275,23.325968352738826
New South Wales,Kempsey (A),1982,1.0535617183251769,0.0,22.056143564976434
New South Wales,Muswellbrook (A),1982,10.217695274831245,0.062801350048216,22.159307742353494
New South Wales,Nambucca (A),1982,0.3351335133513352,0.0,21.942152362986555
New South Wales,Narrabri (A),1982,30.976889946001545,0.6404924145024429,24.913454562431415
New South Wales,Port Macquarie-Hastings (A),1982,0.9712311557788946,0.0,21.55597993002139
New South Wales,Shoalhaven (C),1982,3.1276150627615054,0.0,20.162083135598216
New South Wales,Singleton (A),1982,12.725859041886128,0.34704456149151414,22.44668507067186
New South Wales,Snowy River (A),1982,0.06010503793036372,0.0,16.16258587170768
New South Wales,Tenterfield (A),1982,1.4453147664635912,0.0,21.315104762365312
New South Wales,Tumbarumba (A),1982,0.32331774019431436,0.0,16.115676457994052
New South Wales,Walcha (A),1982,0.33079318799284346,0.0,19.127130966500065
New South Wales,Wingecarribee (A),1982,3.0106065132954885,0.0,19.60363651091734
New South Wales,Wollondilly (A),1982,6.32733585858586,0.2577335858585859,20.694425815128618
Queensland,Banana (S),1982,27.284304532948024,1.2537006010114204,27.423821302788
Queensland,Brisbane (C),1982,1.817617384555685,0.0,24.092545306367864
Queensland,Bundaberg (R),1982,4.605623950755454,0.0,26.18563073977908
Queensland,Central Highlands (R),1982,36.75441953237543,1.7888966867358629,27.891215182449677
Queensland,Fraser Coast (R),1982,4.937632212415203,0.0,25.59252063640527
Queensland,Gladstone (R),1982,2.8531088426355558,0.0,26.16700607041474
Queensland,Goondiwindi (R),1982,33.73259700303237,1.2951149870515064,25.874885727781688
Queensland,Gympie (R),1982,5.374683864441068,0.0,24.80739368328739
Queensland,Isaac (R),1982,41.31804175864608,1.0055724184449346,28.482845338759866
Queensland,Lockyer Valley (R),1982,6.58691975192633,0.0,24.179419873733313
Queensland,Mackay (R),1982,1.590932442846134,0.0,25.56619344043325
Queensland,Maranoa (R),1982,42.02479954561215,2.2952931023036585,26.430014882849516
Queensland,North Burnett (R),1982,12.451481580352382,0.005672717565403099,26.326475730907198
Queensland,Rockhampton (R),1982,11.022797496949082,0.07459818762495782,27.085514970522343
Queensland,Scenic Rim (R),1982,3.912055735056543,0.0,23.63184078820667
Queensland,Somerset (R),1982,7.283756549778315,0.0,24.41019177281952
Queensland,South Burnett (R),1982,6.633765027604357,0.0,24.794139349772575
Queensland,Southern Downs (R),1982,2.1248131092638003,0.0,22.14537886477493
Queensland,Toowoomba (R),1982,11.207955639671944,0.08324202277783309,24.526987611761765
Queensland,Western Downs (R),1982,29.51697469434175,1.3820870059709984,26.280842504684642
Queensland,Whitsunday (R),1982,22.927011020904438,0.028022904655449665,28.12806215169204
New South Wales,Wentworth (A),1983,41.15759528802272,8.687738990995438,23.415761659554736
Queensland,Cairns (R),1983,0.2457197644158334,0.0,25.710348935003854
Queensland,Cassowary Coast (R),1983,2.6368550946057105,0.0,26.041903861810237
Queensland,Charters Towers (R),1983,29.42519449828733,0.3636918828496322,28.234073258598105
Queensland,Cook (S),1983,37.05317871587462,0.0,30.81521340761748
Queensland,Hinchinbrook (S),1983,4.883087201125176,0.0,26.38121027075447
Queensland,Tablelands (R),1983,62.55961476725519,0.38441947565543066,30.103097768755372
Queensland,Townsville (C),1983,7.859320501227232,0.08371011497222583,27.47756687812924
Queensland,Etheridge (S),1983,59.00232895629987,0.7887086580998522,30.09839747956391
New South Wales,Armidale Dumaresq (A),1983,0.7137612858418493,0.0,18.753598552643677
New South Wales,Clarence Valley (A),1983,4.090622504308353,0.010718338867639022,22.028380050173823
New South Wales,Cooma-Monaro (A),1983,0.047749183936840495,0.0,15.999480187886194
New South Wales,Glen Innes Severn (A),1983,0.48138216365308,0.0,18.86631621504749
New South Wales,Lithgow (C),1983,2.5686415535377143,0.0,18.462526031705124
New South Wales,Mid-Western Regional (A),1983,4.236176676793643,0.0,19.70099685460901
New South Wales,Oberon (A),1983,0.3057971014492753,0.0,16.85910396706482
New South Wales,Palerang (A),1983,0.7641124374278012,0.0,17.30880268342229
New South Wales,Richmond Valley (A),1983,7.957754714223064,0.07455050431223503,23.73772787915996
New South Wales,Tumut Shire (A),1983,1.22326745490636,0.0,16.045416392392568
New South Wales,Upper Hunter Shire (A),1983,8.10603448275862,0.0026876267748478706,20.75176114717017
New South Wales,Warrumbungle Shire (A),1983,8.906377568092086,0.07060161948738541,21.461874570140008
New South Wales,Bega Valley (A),1983,2.3672364672364674,0.0,18.153707323975453
New South Wales,Blue Mountains (C),1983,4.939051918735892,0.0,19.68830549309181
New South Wales,Bombala (A),1983,1.0314836678473038,0.0,16.65258435243073
New South Wales,Cabonne (A),1983,8.941113346747148,0.02937625754527163,19.677289020991207
New South Wales,Cessnock (C),1983,12.926086956521742,0.1163561076604555,21.780415284819952
New South Wales,Eurobodalla (A),1983,3.329319371727748,0.0,18.807862591503078
New South Wales,Gloucester (A),1983,6.592850187786897,0.0,20.75252596258027
New South Wales,Great Lakes (A),1983,6.636771995043373,0.0,21.66905872498245
New South Wales,Greater Taree (C),1983,7.132684114424832,0.03104077906269019,21.77619912775019
New South Wales,Guyra (A),1983,0.16703317716798924,0.0,18.093091431010215
New South Wales,Hawkesbury (C),1983,15.073949333723824,0.0,21.70139366740049
