ADM1_NAME,ADM2_NAME,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New South Wales,Cooma-Monaro (A),0.47189477,0.54221964,0.55984133,0.5232734,0.50765604,0.51408625,0.54039454,0.55726993,0.54299664,0.5071739,0.55400455,0.54936457,0.5086416,0.5440343,0.53308403,0.52112037,0.52324146,0.5375501,0.55416936,0.5606687,0.51871574,0.5050439,0.46364453,0.5301182,0.48422596,0.5412996,0.50869524,0.49945587,0.5522154,0.5700688,0.56644845,0.5311939,0.5559984,0.5805711,0.5498064,0.55836195,0.50561744,0.50780314,0.51709294,0.58016527,0.6200515
New South Wales,Glen Innes Severn (A),0.59160244,0.650706,0.646665,0.6043741,0.5920186,0.6260678,0.63931835,0.6238368,0.6322374,0.5852023,0.6194962,0.60331887,0.56975657,0.610032,0.64635015,0.6210847,0.62935895,0.6483206,0.6077909,0.6482327,0.55068874,0.61359787,0.6120245,0.5966805,0.6287907,0.62749124,0.6106941,0.6138912,0.6587111,0.66780615,0.6264162,0.6326542,0.58107215,0.6567305,0.63396186,0.66116905,0.59612435,0.5014279,0.62474626,0.6528246,0.6656626
New South Wales,Lithgow (C),0.5955343,0.623868,0.65545255,0.6235528,0.6204035,0.64502406,0.643816,0.63813376,0.6588264,0.5986474,0.6374035,0.63474745,0.58873904,0.6324222,0.6490535,0.6165437,0.6503938,0.6479547,0.6763471,0.65341955,0.5971849,0.60345405,0.6096293,0.63373566,0.5918388,0.6444371,0.65687996,0.6314666,0.6714987,0.67682225,0.6585825,0.63050425,0.62805563,0.6522133,0.6510374,0.6468138,0.6053461,0.61674625,0.6061868,0.6594384,0.6892938
New South Wales,Mid-Western Regional (A),0.4689396,0.5433098,0.5709033,0.5074868,0.50487196,0.54046315,0.5457255,0.5379113,0.57173634,0.49719384,0.54110307,0.54127353,0.47147465,0.5255181,0.56713337,0.5082353,0.56917024,0.5614285,0.61699295,0.56762433,0.48966035,0.56443834,0.52028936,0.54000574,0.46720555,0.5317307,0.5519503,0.49095926,0.60681164,0.5582695,0.551926,0.5163182,0.5515201,0.5532935,0.5778565,0.5352475,0.48110554,0.46935982,0.5852106,0.597066,0.6167169
New South Wales,Oberon (A),0.5603199,0.62756455,0.6682339,0.6302643,0.6193183,0.6465158,0.65052056,0.654013,0.66233903,0.5984961,0.65286386,0.6521515,0.6026927,0.65279466,0.66070837,0.6157289,0.65543634,0.64026815,0.6859361,0.64832115,0.60544056,0.64058614,0.6122564,0.62446725,0.56649506,0.63977575,0.6300122,0.6272727,0.6761145,0.6682324,0.6548961,0.6313479,0.65939987,0.6599478,0.650146,0.6347119,0.59558505,0.6189242,0.6611502,0.6874731,0.701611
New South Wales,Palerang (A),0.51848733,0.58831227,0.62214875,0.57949203,0.5640049,0.5708079,0.591188,0.60559034,0.59692323,0.5482347,0.5978886,0.5991572,0.5426015,0.5957857,0.59865946,0.5657007,0.5754364,0.5937041,0.61528105,0.58598816,0.5349563,0.5845093,0.51258844,0.5782965,0.5273466,0.5797083,0.5649047,0.5378763,0.6064567,0.61318064,0.61746806,0.5841906,0.6151353,0.6197157,0.6046091,0.58984226,0.5440233,0.549671,0.60375327,0.63828516,0.6643646
New South Wales,Richmond Valley (A),0.66255444,0.68547475,0.6887538,0.673007,0.62287486,0.6843394,0.6874364,0.6726906,0.6658885,0.61863226,0.65554154,0.6375464,0.6324827,0.64540625,0.6821693,0.6675123,0.6583844,0.70558274,0.64906484,0.6612586,0.59808695,0.65342134,0.66750723,0.6654484,0.6846983,0.6755713,0.6966625,0.67993176,0.71073484,0.7088205,0.68447864,0.6922733,0.675751,0.7184882,0.69075656,0.7129131,0.69214594,0.6060879,0.66119534,0.71111804,0.7039406
New South Wales,Tumut Shire (A),0.60172355,0.64594126,0.67297757,0.6329334,0.64636946,0.6490138,0.6385714,0.67028916,0.65383613,0.61621237,0.65940267,0.6715473,0.6359732,0.6676084,0.67260253,0.636553,0.6424162,0.6607198,0.67769766,0.664996,0.6381953,0.5976846,0.63481706,0.63953733,0.5984728,0.62355703,0.6619537,0.6459816,0.67283195,0.69845074,0.6723957,0.65667516,0.6688218,0.6717467,0.68033755,0.68642735,0.6508979,0.6646522,0.6391681,0.6748102,0.6882668
New South Wales,Upper Hunter Shire (A),0.5037014,0.565414,0.60021055,0.5559538,0.5075992,0.5603446,0.58165646,0.56624323,0.599163,0.5114592,0.5552601,0.5723661,0.48619452,0.54494613,0.58147454,0.540585,0.5942044,0.60131115,0.6334232,0.58964115,0.4679886,0.58383614,0.56043756,0.55686927,0.48125833,0.57991695,0.6010683,0.5445818,0.6361,0.6001802,0.5667533,0.5517674,0.564883,0.60355395,0.5941166,0.5480998,0.4672587,0.4921432,0.65579736,0.6401991,0.6478589
New South Wales,Warrumbungle Shire (A),0.42432287,0.5060345,0.5135379,0.45539096,0.4405885,0.48608315,0.5070378,0.4979754,0.5163723,0.46302363,0.47168395,0.49693543,0.41541222,0.47009245,0.5111095,0.47945216,0.5189178,0.52792716,0.55626,0.50643337,0.4021285,0.4897827,0.49682912,0.4903657,0.45000964,0.47894153,0.5034434,0.44812572,0.5695327,0.5084137,0.49534163,0.46598607,0.47741735,0.50120217,0.5329419,0.4798985,0.3944325,0.3883472,0.5549849,0.5667905,0.57478195
New South Wales,Bega Valley (A),0.6704171,0.69987565,0.72072077,0.6985154,0.6900533,0.6857449,0.70171404,0.7206895,0.7175427,0.69797796,0.7222995,0.7175845,0.68566126,0.7078172,0.7136069,0.6994792,0.6876161,0.7061798,0.7208343,0.74019647,0.7007256,0.70044434,0.6836638,0.71729964,0.6948174,0.7181555,0.70006377,0.6600164,0.7153018,0.74453175,0.73138547,0.7126561,0.7394443,0.75629634,0.7450321,0.7266221,0.7130018,0.70225674,0.62309355,0.7265447,0.7481915
New South Wales,Blue Mountains (C),0.70614964,0.7141951,0.7309005,0.72062486,0.7175017,0.7286412,0.72458726,0.718993,0.72613454,0.69758135,0.72195846,0.7121671,0.6875284,0.7194254,0.72342074,0.7045809,0.7196143,0.7318853,0.732805,0.7344499,0.6747233,0.67735666,0.7033315,0.7250017,0.7128307,0.7224552,0.7369716,0.7230584,0.7440862,0.75398797,0.7351453,0.7192951,0.71080923,0.7392599,0.7344698,0.7372552,0.7126418,0.7314456,0.68007994,0.7349558,0.7387823
New South Wales,Bombala (A),0.5321583,0.5880785,0.5957072,0.5758014,0.55281854,0.55007577,0.5715652,0.6077176,0.5867118,0.56117046,0.59877175,0.59894,0.5623639,0.5909904,0.5823944,0.55500776,0.5469166,0.57841986,0.6084502,0.63560146,0.5749619,0.52888566,0.5236482,0.5817023,0.53550214,0.58689,0.5174577,0.508874,0.5949595,0.6241512,0.6172206,0.58264244,0.6292391,0.63952553,0.6144557,0.5926126,0.55211,0.5698521,0.554794,0.6359222,0.6607744
New South Wales,Cabonne (A),0.37413695,0.521498,0.5434493,0.48718956,0.4763644,0.52291465,0.52812445,0.5313884,0.54581237,0.46335816,0.5471589,0.5246357,0.4378573,0.5132699,0.52246135,0.4495732,0.5531782,0.5289502,0.5968177,0.54797316,0.45619377,0.4947293,0.4912406,0.4931197,0.39478055,0.49885008,0.49358168,0.46563008,0.5856007,0.53697217,0.5150584,0.4935452,0.5633115,0.5323404,0.56277007,0.49769327,0.41495156,0.4275108,0.59547824,0.5832973,0.60099125
New South Wales,Cessnock (C),0.6694912,0.66693807,0.69612867,0.6773618,0.667163,0.6843807,0.6936099,0.6858032,0.69377786,0.6312088,0.6855271,0.6780247,0.64039797,0.6728823,0.6682799,0.66465324,0.6771202,0.69404835,0.6964769,0.70945746,0.6518965,0.6464461,0.6525231,0.67334646,0.6303878,0.6824153,0.71433824,0.68908215,0.7062389,0.7181646,0.706238,0.7007216,0.68513316,0.7160718,0.70542324,0.6955176,0.66729873,0.6651596,0.69431174,0.7315371,0.7441122
New South Wales,Eurobodalla (A),0.70696944,0.7219881,0.7433672,0.72168595,0.7205691,0.71245426,0.72193307,0.73628014,0.7390201,0.7166639,0.7406566,0.7348506,0.70580775,0.7375824,0.7304242,0.72396547,0.7158821,0.73694235,0.7426006,0.750661,0.7185228,0.7139086,0.7058068,0.7331695,0.7231792,0.73777884,0.7333219,0.6861988,0.7398293,0.76478934,0.7507454,0.75186706,0.7544882,0.77296823,0.76323324,0.7568327,0.7560093,0.7237513,0.61105114,0.745438,0.7683543
