ADM1_NAME,ADM2_NAME,year,fire_events,total_area_ha,max_area_ha,major_fires
New South Wales,Blue Mountains (C),1981,6,216.29576931999998,78.30050157,0
New South Wales,Blue Mountains (C),1982,2,22.113154809999997,16.4583247,0
New South Wales,Blue Mountains (C),1986,8,37.03697956,28.43689846,0
New South Wales,Blue Mountains (C),1987,2,306.70820442,236.39472308,0
New South Wales,Blue Mountains (C),1988,1,7.35710007,7.35710007,0
New South Wales,Blue Mountains (C),1991,1,4.58730191,4.58730191,0
New South Wales,Blue Mountains (C),1994,3,13.47236637,6.55283629,0
New South Wales,Blue Mountains (C),1995,1,10.5378857,10.5378857,0
New South Wales,Blue Mountains (C),1996,9,58.290796959999994,25.59894369,0
New South Wales,Blue Mountains (C),1997,4,549.49770319,435.58356581,0
New South Wales,Blue Mountains (C),1998,1,1105.5447077,1105.5447077,0
New South Wales,Blue Mountains (C),1999,4,532.77259439,525.71818514,0
New South Wales,Blue Mountains (C),2000,16,101.49701427000001,33.52975652,0
New South Wales,Blue Mountains (C),2001,5,1079.50832113,518.50647237,0
New South Wales,Blue Mountains (C),2002,21,20334.26614088,12622.97731951,1
New South Wales,Blue Mountains (C),2003,20,1163.74453683,382.56579898,0
New South Wales,Blue Mountains (C),2004,11,216.42856411000002,142.60259181,0
New South Wales,Blue Mountains (C),2005,25,297.2187178,124.85560815,0
New South Wales,Blue Mountains (C),2006,18,957.37485758,426.67380499,0
New South Wales,Blue Mountains (C),2007,5,4.67723522,2.22982395,0
New South Wales,Blue Mountains (C),2008,8,745.28823528,466.46238906,0
New South Wales,Blue Mountains (C),2009,21,906.39089221,638.54946563,0
New South Wales,Blue Mountains (C),2010,4,1654.1612002299998,1512.7978512,0
New South Wales,Blue Mountains (C),2011,8,3043.08786322,1651.16342128,0
New South Wales,Blue Mountains (C),2012,13,890.64774124,356.81155803,0
New South Wales,Blue Mountains (C),2013,18,16504.218433550002,9375.832542,0
New South Wales,Blue Mountains (C),2014,9,2900.38339304,1579.31133469,0
New South Wales,Blue Mountains (C),2015,11,2753.5069145,700.8156112,0
New South Wales,Blue Mountains (C),2016,13,4036.5946599500003,2174.61249597,0
New South Wales,Blue Mountains (C),2017,7,903.02580206,466.7059822,0
New South Wales,Blue Mountains (C),2018,14,3579.2022928099996,2696.51513583,0
New South Wales,Blue Mountains (C),2019,8,20603.24094874,19895.55267512,1
New South Wales,Blue Mountains (C),2020,6,22629.10570433,22497.3595029,1
New South Wales,Blue Mountains (C),2021,8,3303.98621887,1807.82612048,0
New South Wales,Blue Mountains (C),2023,5,26.73828724,21.71193386,0
New South Wales,Blue Mountains (C),2024,14,4204.30628348,1958.34487636,0
New South Wales,Blue Mountains (C),2025,286,1218.8759628,226.52333073,0
New South Wales,Blue Mountains (C),2026,28,4469.57007973,1608.37544599,0
New South Wales,Bombala (A),1979,1,4070.87538947,4070.87538947,0
New South Wales,Bombala (A),1987,1,4449.32164979,4449.32164979,0
New South Wales,Bombala (A),1992,1,76.84878883,76.84878883,0
New South Wales,Bombala (A),1993,8,485.86535788,179.51414839,0
New South Wales,Bombala (A),1994,7,1256.00648437,500.4549826,0
New South Wales,Bombala (A),1997,2,338.77254550000004,273.4784283,0
New South Wales,Bombala (A),2001,1,130.00685332,130.00685332,0
New South Wales,Bombala (A),2002,4,839.11506129,437.23199676,0
New South Wales,Bombala (A),2003,4,46682.22889176359,28456.13091572798,2
New South Wales,Bombala (A),2004,1,238.39412461,238.39412461,0
New South Wales,Bombala (A),2005,5,3891.52656607,1492.0280135,0
New South Wales,Bombala (A),2006,1,16.4996279,16.4996279,0
New South Wales,Bombala (A),2007,2,2549.1619382,2548.55504509,0
New South Wales,Bombala (A),2008,1,1021.19967596,1021.19967596,0
New South Wales,Bombala (A),2009,3,551.86448028,342.98787998,0
New South Wales,Bombala (A),2010,3,2311.9191303899997,1185.01969831,0
New South Wales,Bombala (A),2011,1,10436.22672547,10436.22672547,1
New South Wales,Bombala (A),2012,1,0.15872572,0.15872572,0
New South Wales,Bombala (A),2013,9,3466.76125461,2527.78469069,0
New South Wales,Bombala (A),2014,4,27.18585424,20.36965545,0
New South Wales,Bombala (A),2015,15,4205.72326022,1788.40759599,0
New South Wales,Bombala (A),2016,38,1495.30007142,158.12774119,0
New South Wales,Bombala (A),2017,6,2186.1273250900003,1116.8586726,0
New South Wales,Bombala (A),2018,2,22.07543558,22.06916166,0
New South Wales,Bombala (A),2019,9,5451.32570726,3528.25773922,0
New South Wales,Bombala (A),2020,6,35553.023617908846,26262.45367032,1
New South Wales,Bombala (A),2021,11,806.98065749,497.47558933,0
New South Wales,Bombala (A),2023,9,2834.13208451,867.74264642,0
New South Wales,Bombala (A),2024,7,1415.0526831500001,777.12837989,0
New South Wales,Bombala (A),2025,8,2719.10228508,904.40108863,0
New South Wales,Bombala (A),2026,17,406.93194506,73.2702366,0
New South Wales,Cabonne (A),1988,1,180.56911502,180.56911502,0
New South Wales,Cabonne (A),1991,1,365.84937087,365.84937087,0
New South Wales,Cabonne (A),1994,2,0.48035864,0.46495682,0
New South Wales,Cabonne (A),1995,2,0.13537019,0.10889718,0
New South Wales,Cabonne (A),1996,2,4.41543056,4.16874409,0
New South Wales,Cabonne (A),1997,2,0.7062549,0.4020841,0
New South Wales,Cabonne (A),1998,3,0.33489679,0.27099776,0
New South Wales,Cabonne (A),1999,2,1.36408727,1.27646,0
New South Wales,Cabonne (A),2000,1,0.29010274,0.29010274,0
New South Wales,Cabonne (A),2001,3,6.607811140000001,4.33739946,0
New South Wales,Cabonne (A),2002,7,27670.52102404,27537.63241262,1
New South Wales,Cabonne (A),2003,3,3.93908519,3.75794535,0
New South Wales,Cabonne (A),2004,5,14.21179401,14.18736482,0
New South Wales,Cabonne (A),2005,8,178.09053861,75.89753173,0
New South Wales,Cabonne (A),2006,8,1116.44240694,1034.78549028,0
New South Wales,Cabonne (A),2007,15,2385.00244756,1006.65532481,0
New South Wales,Cabonne (A),2008,11,1493.32792779,441.86231809,0
New South Wales,Cabonne (A),2009,30,5996.0840805299995,1043.91975279,0
New South Wales,Cabonne (A),2010,27,5765.29279522,909.59089864,0
New South Wales,Cabonne (A),2011,9,3255.53555304,886.29594734,0
New South Wales,Cabonne (A),2012,1,2.11913389,2.11913389,0
New South Wales,Cabonne (A),2013,5,1342.07867159,1005.37802176,0
New South Wales,Cabonne (A),2014,3,5.692419510000001,3.67175922,0
New South Wales,Cabonne (A),2015,2,105.68442973,105.68424872,0
New South Wales,Cabonne (A),2016,1,15.02301851,15.02301851,0
New South Wales,Cabonne (A),2017,4,1040.6556634499998,521.00680312,0
New South Wales,Cabonne (A),2018,6,3063.38841532,1778.28194233,0
New South Wales,Cabonne (A),2019,6,1649.2167218499999,1604.89586085,0
New South Wales,Cabonne (A),2023,2,44.49028474,35.3531671,0
New South Wales,Cabonne (A),2024,3,2.83326204,1.99660421,0
New South Wales,Cabonne (A),2025,3,1.9195193700000002,1.55759847,0
New South Wales,Cabonne (A),2026,9,2358.82520237,974.99412888,0
New South Wales,Cessnock (C),1956,1,45.68202312,45.68202312,0
New South Wales,Cessnock (C),1961,1,40.78117163,40.78117163,0
New South Wales,Cessnock (C),1964,3,212.26673472000002,193.08390127,0
New South Wales,Cessnock (C),1965,5,543.06584044,326.578957,0
New South Wales,Cessnock (C),1966,1,5.92664997,5.92664997,0
New South Wales,Cessnock (C),1968,1,118.36658773,118.36658773,0
New South Wales,Cessnock (C),1969,2,608.71491211,570.67538519,0
New South Wales,Cessnock (C),1971,2,178.9267956,90.92203915,0
New South Wales,Cessnock (C),1972,1,171.62917051,171.62917051,0
New South Wales,Cessnock (C),1975,1,181.12822953,181.12822953,0
New South Wales,Cessnock (C),1976,3,1516.40854876,627.07584344,0
New South Wales,Cessnock (C),1977,3,1174.80090824,483.49802484,0
New South Wales,Cessnock (C),1979,2,69.95490585,59.12025348,0
New South Wales,Cessnock (C),1981,2,667.46484121,515.46848406,0
New South Wales,Cessnock (C),1985,1,104.29190724,104.29190724,0
New South Wales,Cessnock (C),1986,2,316.53113777,229.52047408,0
New South Wales,Cessnock (C),1988,3,553.36502008,398.6228678,0
New South Wales,Cessnock (C),1989,19,226.40297037,65.04834447,0
New South Wales,Cessnock (C),1990,6,2266.92730347,819.56917884,0
New South Wales,Cessnock (C),1991,27,9025.91805764,3481.21012105,0
New South Wales,Cessnock (C),1992,11,36.89945026,17.51670587,0
New South Wales,Cessnock (C),1994,5,3811.22648648,1615.89608624,0
New South Wales,Cessnock (C),1995,16,2483.93604879,738.35693298,0
New South Wales,Cessnock (C),1996,17,1798.14612907,418.62435639,0
New South Wales,Cessnock (C),1997,23,2573.9761605,1117.85820292,0
