ADM1_NAME,ADM2_NAME,fire_count,total_area_ha,earliest_fire,latest_fire,avg_area_ha_per_fire
New South Wales,Armidale Dumaresq (A),293,208157.3781895,1990-07-01,2026-04-11,710.434737848123
Queensland,Hinchinbrook (S),292,208380.41448849,1986-01-01,2026-07-14,713.6315564674316
Western Australia,West Arthur (S),291,193081.34919957,1938-01-01,2026-01-04,663.5097910638144
Queensland,Goondiwindi (R),283,508346.47754357,1939-12-01,2026-06-23,1796.2773058076677
Tasmania,Flinders (M),281,135976.71812139,,,483.9029114640214
South Australia,Grant (DC),276,47313.42254543217,1956-12-31,2026-02-16,171.42544400518904
Northern Territory,Roper Gulf (S),274,655481.8839788544,2020-10-12,2025-08-10,2392.269649557863
Northern Territory,Victoria-Daly (S),263,452519.30623483466,2016-01-13,2025-11-12,1720.6057271286488
Western Australia,Williams (S),261,246427.46965878,1940-01-01,2026-02-26,944.1665504167817
New South Wales,Gloucester (A),260,85861.82884987,1968-01-01,2025-10-06,330.2378032687308
Tasmania,George Town (M),253,25494.9058746,,,100.77037895098815
Tasmania,Hobart (C),249,6571.80762081,,,26.39280169
Queensland,Whitsunday (R),249,143552.86223817,1977-12-16,2026-06-30,576.5175190287952
Northern Territory,Litchfield (M),238,24117.33439656402,2020-09-11,2025-08-10,101.33333780068916
New South Wales,Bellingen (A),238,32134.89620424,1976-07-01,2026-06-06,135.02057228672268
Queensland,Lockyer Valley (R),233,152927.32532162,1980-09-03,2026-07-14,656.3404520241202
Northern Territory,Unincorporated NT,230,53160.147911661836,2025-03-01,2025-08-04,231.13107787679058
Queensland,Isaac (R),229,642747.55624135,2002-05-19,2026-05-19,2806.7578875168124
Western Australia,Halls Creek (S),226,8752492.433062652,2007-09-28,2026-05-20,38727.842624171026
Western Australia,Derby-West Kimberley (S),225,10479667.30630457,2007-07-16,2026-06-05,46576.29913913142
Tasmania,Kingborough (M),223,18082.01106548,,,81.08525141470852
Tasmania,Meander Valley (M),222,43320.03031967,,,195.13527171022523
New South Wales,Ku-ring-gai (A),221,6583.01248894,2002-07-04,2025-09-29,29.787386827782807
Western Australia,Northam (S),213,64738.26738734,1938-01-01,2026-05-13,303.9355276400939
South Australia,Onkaparinga (C),209,3527.00695259,1955-12-31,2026-04-22,16.875631352105263
Western Australia,Northampton (S),208,267761.19416887,1985-01-01,2026-05-06,1287.3134335041827
South Australia,Southern Mallee (DC),207,371594.24100618024,1945-12-31,2025-10-17,1795.1412608994215
New South Wales,Hay (A),201,665.28024409,2006-03-04,2016-03-03,3.3098519606467662
New South Wales,Murray (A),200,8342.081346539391,1948-11-11,2026-01-26,41.71040673269695
New South Wales,Wentworth (A),199,1964396.696043112,1974-12-13,2025-05-07,9871.340181121166
New South Wales,Upper Hunter Shire (A),194,88176.50184266,2001-01-29,2025-12-11,454.5180507353608
New South Wales,Oberon (A),193,112495.43955815,1968-04-10,2025-03-19,582.8779251717616
Victoria,Bass Coast (S),190,383.03542020037906,1992-01-01,2025-01-08,2.0159758957914686
Tasmania,Waratah/Wynyard (M),188,10722.05303826,,,57.03219701202128
Western Australia,Gosnells (C),184,19964.26487498,1938-01-01,2026-01-28,108.50143953793477
Queensland,Charters Towers (R),182,1106426.25339967,1956-01-01,2026-06-22,6079.265128569615
New South Wales,Inverell (A),182,145282.77988321,1948-12-08,2026-02-04,798.2570323253296
New South Wales,Cobar (A),175,3814237.01477628,2003-04-14,2026-04-02,21795.640084435887
New South Wales,Dungog (A),172,54709.06197344,1968-01-01,2025-10-06,318.07594170604654
New South Wales,Weddin (A),168,32050.9836646,2001-12-20,2025-04-30,190.7796646702381
Western Australia,Carnamah (S),164,340642.39413925,1972-01-01,2026-05-20,2077.087769141768
Victoria,Brimbank (C),163,275.2837598086522,1997-03-19,2024-12-04,1.6888574221389705
Western Australia,Broome (S),163,7013329.89018022,2007-07-18,2026-06-25,43026.563743436935
Western Australia,Coorow (S),159,201498.61788564,1972-01-01,2026-04-19,1267.2869049411322
Tasmania,West Tamar (M),159,7515.26462048,,,47.265815223144656
Tasmania,Latrobe (M),159,4959.09806424,,,31.189296001509433
Tasmania,Kentish (M),159,4100.29149759,,,25.787996840188683
Western Australia,Cranbrook (S),158,118472.08418882,1959-01-01,2025-02-25,749.8233176507595
Western Australia,Cockburn (C),157,1660.21034744,1999-01-01,2026-02-10,10.574588200254778
South Australia,Tatiara (DC),155,119572.69526236226,1954-12-31,2024-02-07,771.4367436281436
New South Wales,Penrith (C),149,15643.44888256,1998-02-20,2025-12-17,104.98958981583893
South Australia,Lower Eyre Peninsula (DC),145,45613.285995,1956-08-31,2026-04-21,314.57438617241377
Victoria,Greater Geelong (C),143,22829.184366363985,1997-04-28,2025-01-27,159.64464591862927
South Australia,Mitcham (C),142,1232.41995215,1950-12-31,2026-04-29,8.679013747535212
Western Australia,Irwin (S),137,207827.33907080002,1972-01-01,2026-05-07,1516.9878764291973
Victoria,Manningham (C),133,932.2380032144306,1997-04-14,2025-02-18,7.009308294845343
Western Australia,Joondalup (C),132,13731.636684090001,1963-09-16,2026-01-24,104.02755063704547
Queensland,Flinders (S),132,1215498.16829646,1967-10-02,2026-04-28,9208.319456791363
South Australia,Barossa (DC),129,3551.66882353,1955-12-31,2026-04-18,27.532316461472867
New South Wales,Tamworth Regional (A),127,94920.94488382,1982-12-16,2026-04-18,747.4090148332284
Western Australia,Chittering (S),127,96918.39782993,1961-01-01,2026-05-02,763.1369907868504
Queensland,Logan (C),126,5375.65856628,1986-04-14,2026-06-06,42.66395687523809
South Australia,Alexandrina (DC),125,4428.51341244,1982-12-31,2026-05-11,35.42810729952
New South Wales,Moree Plains (A),123,29041.43013546,1985-01-31,2026-06-24,236.10918809317073
Victoria,Moira (S),122,13050.730942059046,2005-03-03,2025-04-28,106.97320444310694
Queensland,Redland (C),122,14602.13247739,1986-07-02,2026-07-14,119.68961047040983
Victoria,Mornington Peninsula (S),121,860.9225878525018,1996-12-21,2025-04-11,7.115062709524809
New South Wales,Gwydir (A),119,63072.92783322,1985-01-31,2026-01-27,530.0246036405042
South Australia,Loxton Waikerie (DC),116,76331.11429774563,1972-04-13,2025-10-07,658.0268473943589
Western Australia,Sandstone (S),112,272413.07740534,1992-09-16,2026-01-09,2432.2596196905356
Western Australia,Lake Grace (S),111,509183.37237689,1945-01-01,2026-01-16,4587.237588980991
Western Australia,Kwinana (T),110,2170.13195024,1994-01-01,2026-05-22,19.72847227490909
Victoria,Greater Shepparton (C),109,1943.499695715636,2005-03-30,2025-02-23,17.83027243775813
New South Wales,Byron (A),109,4492.74168435,1998-09-14,2026-03-28,41.2178136178899
South Australia,The Coorong (DC),107,255232.48611929,1954-12-31,2025-12-28,2385.3503375634577
Queensland,Carpentaria (S),105,4895582.09053657,2003-05-21,2026-05-27,46624.591338443526
Victoria,Frankston (C),104,274.584814904113,1997-03-27,2024-12-18,2.6402386048472404
Victoria,Hume (C),104,3473.1146743281365,1997-03-20,2025-05-08,33.39533340700131
New South Wales,Yass Valley (A),102,190541.9734264,1977-12-17,2026-04-23,1868.0585630039218
South Australia,Mount Barker (DC),95,7445.156471400001,1962-04-01,2026-02-17,78.37006812
New South Wales,Dubbo (C),93,17297.47860272,2002-06-30,2026-03-24,185.99439357763438
South Australia,Yankalilla (DC),93,10722.11773761,1980-12-31,2026-02-01,115.29158857645162
Victoria,Wodonga (RC),93,30494.485391140446,2001-05-03,2025-05-17,327.89769237785424
New South Wales,Randwick (C),91,164.91287536,1986-10-10,2026-04-27,1.8122293995604395
