ADM1_NAME,ADM2_NAME,fire_count,total_area_ha,earliest_fire,latest_fire,avg_area_ha_per_fire
Western Australia,Westonia (S),23,39708.879814880005,1991-09-01,2026-02-20,1726.4730354295655
New South Wales,Fairfield (C),23,92.74355013,2002-09-08,2013-12-31,4.0323282665217395
New South Wales,Uralla (A),23,8124.77198529,2005-08-16,2023-01-28,353.2509558821739
South Australia,Kimba (DC),22,53137.13594627,1972-12-23,2025-12-03,2415.3243611940907
Queensland,Diamantina (S),21,2053919.1174013999,2010-10-19,2026-06-03,97805.67225720952
Queensland,Ipswich (C),21,3922.05733824,1997-12-31,2003-01-26,186.7646351542857
Western Australia,Victoria Plains (S),21,26020.4712971,1962-01-01,2026-01-15,1239.0700617666666
New South Wales,Ballina (A),21,3171.1104158,2002-12-14,2024-03-10,151.0052578952381
South Australia,Streaky Bay (DC),20,26649.17521927,1972-12-31,2025-11-26,1332.4587609635
New South Wales,Wagga Wagga (C),20,10357.74266803,2006-02-19,2024-02-29,517.8871334015
Tasmania,King Island (M),19,19049.00423311,,,1002.5791701636842
New South Wales,Wellington (A),19,2502.34783151,2006-01-27,2026-03-31,131.70251744789473
New South Wales,Balranald (A),19,55739.967574559996,2005-11-28,2022-01-22,2933.6825039242103
South Australia,Mallala (DC),18,162.71306465,2017-11-13,2025-12-21,9.039614702777778
New South Wales,Brewarrina (A),18,14199.32096719,2005-12-06,2023-11-16,788.8511648438889
Queensland,Blackall Tambo (R),18,664189.75366781,2004-08-10,2024-11-02,36899.43075932278
Northern Territory,Central Desert (S),17,32582.52453339529,2025-01-13,2025-07-23,1916.6190901997231
New South Wales,Shellharbour (C),17,2359.64601983,2000-08-29,2025-10-18,138.80270704882355
Western Australia,Mukinbudin (S),17,34373.75820438,1973-12-31,2026-05-22,2021.9857767282354
Victoria,Hobsons Bay (C),16,42.05834079387543,2007-04-07,2025-01-26,2.6286462996172144
Northern Territory,East Arnhem (S),16,81185.79263024901,2020-10-12,2025-08-04,5074.112039390563
New South Wales,Narromine (A),15,4769.0214508,2006-09-09,2026-02-22,317.93476338666665
South Australia,Port Pirie City and Dists (M),15,10957.38670558,1960-01-08,2025-11-26,730.4924470386667
South Australia,Ceduna (DC),15,18363.34970104,1972-12-31,2013-11-30,1224.2233134026667
Western Australia,Stirling (C),15,288.72977555,1990-01-01,2026-05-04,19.248651703333334
Northern Territory,Darwin (C),14,94.6332142092855,2025-06-01,2025-06-27,6.75951530066325
Northern Territory,Tiwi Islands (S),14,31433.173389368,2025-05-01,2025-08-04,2245.226670669143
Queensland,Winton (S),14,26033.1888735,2009-11-18,2026-02-02,1859.5134909642857
Queensland,Longreach (R),14,1043.83313636,2000-07-12,2020-07-16,74.55950974
Queensland,Croydon (S),14,580509.9948167,2016-10-20,2025-11-04,41464.99962976429
South Australia,Barunga West (DC),14,1212.78378618,2018-03-27,2025-12-11,86.62741329857144
South Australia,Burnside (C),13,56.46194133,1983-02-16,2023-02-12,4.343226256153846
Queensland,Barcoo (S),12,12080.392470499999,2010-05-19,2024-05-09,1006.6993725416665
Queensland,Balonne (S),12,9481.90836322,2023-02-03,2026-06-17,790.1590302683334
Western Australia,Dumbleyung (S),11,645.24437145,2011-12-05,2025-01-24,58.658579222727276
Western Australia,Tammin (S),11,576.0784706,2015-05-07,2025-11-23,52.37077005454545
South Australia,Mount Gambier (C),11,131.64164564,1958-12-31,2022-01-25,11.967422330909091
New South Wales,Temora (A),10,4035.8258029300005,1985-01-15,2026-04-08,403.58258029300003
New South Wales,Woollahra (A),10,4.3035945799999995,2003-06-19,2025-11-13,0.430359458
Queensland,Cherbourg (S),10,8261.31785963,2004-06-14,2025-09-29,826.1317859630001
New South Wales,Blayney (A),10,422.55333128,1997-04-02,2009-04-06,42.255333128000004
Western Australia,Wagin (S),10,7226.41783277,2008-02-23,2025-12-01,722.6417832770001
Western Australia,Kulin (S),10,4885.7043195999995,2005-11-18,2026-01-18,488.57043195999995
New South Wales,Deniliquin (A),10,290.47100417999997,1976-12-11,2024-05-04,29.047100417999996
New South Wales,Lachlan (A),10,3778.2333006100002,2005-12-26,2026-04-17,377.82333006100004
Western Australia,Bruce Rock (S),9,1472.1210300500002,2012-05-24,2025-11-13,163.5690033388889
New South Wales,Camden (A),9,107.38148518,2006-07-11,2024-03-10,11.931276131111112
Western Australia,Quairading (S),9,194.55293198,2012-04-05,2026-01-16,21.616992442222223
New South Wales,Gundagai (A),9,27891.670894970004,2003-02-01,2024-11-13,3099.074543885556
Western Australia,Murchison (S),9,50612.873077849996,1989-07-01,2015-11-28,5623.652564205555
Queensland,Torres (S),9,764.29903106,2016-11-16,2026-06-08,84.92211456222222
New South Wales,Canterbury (C),8,10.218117419999999,2004-10-16,2026-04-26,1.2772646774999998
Victoria,Darebin (C),8,17.221917189087854,2003-03-12,2023-11-17,2.1527396486359818
Western Australia,Kellerberrin (S),8,574.17452413,2014-05-14,2025-12-03,71.77181551625
New South Wales,Lockhart (A),8,732.30200315,2006-12-11,2025-11-26,91.53775039375
Western Australia,Narrogin (T),8,38.919184730000005,1998-01-01,2023-12-29,4.864898091250001
Western Australia,Kojonup (S),8,629.89967792,2008-05-07,2025-05-01,78.73745974
New South Wales,Griffith (C),8,21.61248126,2006-09-30,2016-01-20,2.7015601575
New South Wales,Young (A),8,1529.62444728,2004-02-12,2023-02-24,191.20305591
South Australia,Flinders Ranges (DC),8,2805.8479736,1985-12-31,2024-10-17,350.7309967
New South Wales,Narrandera (A),7,1380.58680865,2006-12-08,2020-12-11,197.22668695
Queensland,Bulloo (S),7,456390.97791729,2011-12-01,2024-08-26,65198.711131041426
South Australia,Gawler (T),7,44.51188105,2010-02-10,2026-02-20,6.35884015
New South Wales,Bland (A),7,1274.8042562400003,2005-12-12,2016-04-23,182.11489374857146
New South Wales,Orange (C),7,92.01311407,2001-10-18,2009-05-14,13.144730581428572
Western Australia,Wickepin (S),6,192.38224734,2011-05-19,2026-03-21,32.063707889999996
South Australia,Renmark Paringa (DC),6,211.9655445,2010-10-18,2025-10-30,35.32759075
Western Australia,Goomalling (S),5,429.68414925999997,2022-11-22,2025-12-03,85.93682985199999
Western Australia,Merredin (S),5,216.50293235,2004-01-18,2017-04-30,43.30058647
New South Wales,Conargo (A),5,92408.63537008999,1953-03-09,2017-12-31,18481.727074018
Western Australia,Trayning (S),5,332.36394167,2019-03-17,2023-01-09,66.472788334
Western Australia,Katanning (S),5,4644.60212467,2005-12-22,2025-01-24,928.920424934
Western Australia,Dowerin (S),5,580.13446954,2010-11-21,2026-05-06,116.026893908
New South Wales,Forbes (A),4,3607.4242355,2006-11-27,2026-02-01,901.856058875
New South Wales,Hurstville (C),4,10.9576224,1999-10-31,2015-10-09,2.7394056
New South Wales,Willoughby (C),4,48.45048998,2005-10-21,2005-10-21,12.112622495
Northern Territory,Palmerston (C),4,1179.199728604,2025-06-02,2025-07-12,294.799932151
Western Australia,Mingenew (S),4,736.9238565500001,2019-03-26,2026-01-19,184.23096413750002
Western Australia,Mount Magnet (S),4,26926.21398637,1990-09-16,2012-11-16,6731.5534965925
New South Wales,Jerilderie (A),4,4963.6990203899995,1990-01-03,2016-05-05,1240.9247550974999
New South Wales,Junee (A),4,59236.14165538,2006-01-16,2009-12-05,14809.035413845
Western Australia,Wyalkatchem (S),4,65.11023797,2010-05-19,2023-12-16,16.2775594925
New South Wales,Auburn (C),4,8.57862592,2018-04-05,2024-03-06,2.14465648
Victoria,Maroondah (C),4,1.375193776123983,2022-04-08,2025-04-02,0.34379844403099574
Victoria,Melbourne (C),4,2.0534113468740838,2010-10-21,2024-12-16,0.5133528367185209
Western Australia,Subiaco (C),3,0.74615164,2017-11-20,2025-12-27,0.24871721333333333
Western Australia,Perth (C),3,54.39377169,2009-01-16,2018-01-30,18.13125723
New South Wales,Cootamundra (A),3,5.30218129,2007-02-09,2025-12-31,1.7673937633333334
Western Australia,South Perth (C),3,4.09388741,2010-11-03,2010-11-03,1.3646291366666665
Western Australia,Broomehill-Tambellup (S),3,302.51037222,2022-12-08,2024-12-03,100.83679074000001
New South Wales,Bogan (A),3,72.57037499,2003-03-01,2010-03-29,24.19012499666667
Northern Territory,Wagait (S),3,48.637058177050996,2025-06-09,2025-06-09,16.212352725683665
Queensland,Lockhart River (S),3,136044.85852694002,1999-01-01,2016-10-21,45348.286175646674
Victoria,Kingston (C),3,7.593670570653998,2011-12-07,2024-03-11,2.5312235235513327
Western Australia,Cunderdin (S),3,972.88266589,2023-11-21,2025-11-12,324.2942219633333
Western Australia,Koorda (S),3,42.773651969999996,2021-12-09,2023-04-17,14.257883989999998
Queensland,Boulia (S),3,166440.57594634802,2000-01-01,2024-12-31,55480.191982116005
Western Australia,Leonora (S),3,35508.47297974,2015-10-25,2019-12-16,11836.157659913333
Western Australia,Belmont (C),2,0.19898651,2017-01-29,2017-03-02,0.099493255
Victoria,Moonee Valley (C),2,6.672966417480572,,,3.336483208740286
Victoria,Greater Dandenong (C),2,40.25992495258556,2019-04-08,2025-02-13,20.12996247629278
South Australia,Port Lincoln (C),2,234.39064567,2009-01-13,2023-03-06,117.195322835
Western Australia,Cambridge (T),2,80.3573545,2000-09-16,2016-04-24,40.17867725
Western Australia,Woodanilling (S),2,121.99360739000001,2023-11-24,2023-12-04,60.996803695000004
Queensland,Aurukun (S),2,75213.4607404,2008-11-11,2009-06-15,37606.7303702
Northern Territory,Alice Springs (T),2,72.83333409,2025-01-28,2025-06-21,36.416667045
Western Australia,Morawa (S),2,26.776024789999997,2015-12-17,2018-01-03,13.388012394999999
Western Australia,Narembeen (S),2,56.88452754,2013-11-05,2013-11-05,28.44226377
Western Australia,Melville (C),2,2.08881039,2012-04-11,2025-04-12,1.044405195
Western Australia,Corrigin (S),2,44275.48805481,2022-02-06,2023-10-17,22137.744027405
South Australia,Port Augusta (C),2,37.27419461,2002-10-22,2025-11-21,18.637097305
Queensland,Richmond (S),2,49304.4385562,2018-12-09,2020-11-19,24652.2192781
South Australia,Orroroo/Carrieton (DC),2,187.47991301000002,2016-11-16,2023-12-07,93.73995650500001
South Australia,Copper Coast (DC),2,51.21754687000001,2013-01-17,2017-11-14,25.608773435000003
Queensland,Yarrabah (S),2,543.4360958,2014-07-17,2025-07-03,271.7180479
Queensland,Quilpie (S),1,47.94534034,2012-05-10,2012-05-10,47.94534034
Queensland,Cloncurry (S),1,1231.01544484,1999-10-15,1999-10-15,1231.01544484
Queensland,Hope Vale (S),1,985.68866601,2025-09-02,2025-09-02,985.68866601
South Australia,Whyalla (C),1,1.71202663,2024-03-10,2024-03-10,1.71202663
Victoria,Maribyrnong (C),1,26.199701026011358,2022-01-01,2022-01-01,26.199701026011358
Victoria,Queenscliffe (B),1,0.987204731128189,,,0.987204731128189
Western Australia,Bayswater (C),1,0.37277958,2009-11-27,2009-11-27,0.37277958
Victoria,Banyule (C),1,0.007971231982608,2025-01-27,2025-01-27,0.007971231982608
Victoria,Monash (C),1,11.978951480141257,2013-04-09,2013-04-09,11.978951480141257
Victoria,Warrnambool (C),1,2.622176756257669,2000-02-10,2000-02-10,2.622176756257669
Northern Territory,Belyuen (S),1,0.144277959886,2025-07-10,2025-07-10,0.144277959886
New South Wales,Lane Cove (A),1,0.75140521,,,0.75140521
Western Australia,Nedlands (C),1,24.23518906,2002-01-01,2002-01-01,24.23518906
Western Australia,Nungarin (S),1,99.54200888,2010-01-09,2010-01-09,99.54200888
New South Wales,Urana (A),1,1305.90415246,2004-12-20,2004-12-20,1305.90415246
Western Australia,Victoria Park (T),1,2.34699077,2013-03-15,2013-03-15,2.34699077
