ADM1_NAME,ADM2_NAME,year,sightings
New South Wales,Bombala (A),2011,7
New South Wales,Bombala (A),2012,31
New South Wales,Bombala (A),2013,10
New South Wales,Bombala (A),2014,7
New South Wales,Bombala (A),2015,30
New South Wales,Bombala (A),2016,37
New South Wales,Bombala (A),2017,9
New South Wales,Bombala (A),2018,26
New South Wales,Bombala (A),2019,10
New South Wales,Bombala (A),2020,5
New South Wales,Bombala (A),2021,45
New South Wales,Bombala (A),2022,456
New South Wales,Bombala (A),2023,312
New South Wales,Bombala (A),2024,377
New South Wales,Bombala (A),2025,4
New South Wales,Bombala (A),2026,28
New South Wales,Cabonne (A),1990,5
New South Wales,Cabonne (A),1993,5
New South Wales,Cabonne (A),1994,6
New South Wales,Cabonne (A),1995,2
New South Wales,Cabonne (A),1996,3
New South Wales,Cabonne (A),1997,29
New South Wales,Cabonne (A),1998,4
New South Wales,Cabonne (A),1999,3
New South Wales,Cabonne (A),2000,4
New South Wales,Cabonne (A),2001,15
New South Wales,Cabonne (A),2002,13
New South Wales,Cabonne (A),2003,4
New South Wales,Cabonne (A),2004,8
New South Wales,Cabonne (A),2005,8
New South Wales,Cabonne (A),2006,9
New South Wales,Cabonne (A),2008,3
New South Wales,Cabonne (A),2009,9
New South Wales,Cabonne (A),2010,1
New South Wales,Cabonne (A),2011,8
New South Wales,Cabonne (A),2012,5
New South Wales,Cabonne (A),2013,4
New South Wales,Cabonne (A),2014,4
New South Wales,Cabonne (A),2015,4
New South Wales,Cabonne (A),2016,7
New South Wales,Cabonne (A),2017,3
New South Wales,Cabonne (A),2018,7
New South Wales,Cabonne (A),2019,25
New South Wales,Cabonne (A),2020,4
New South Wales,Cabonne (A),2021,2
New South Wales,Cabonne (A),2022,6
New South Wales,Cabonne (A),2023,11
New South Wales,Cabonne (A),2024,2
New South Wales,Cabonne (A),2025,11
New South Wales,Cabonne (A),2026,1
New South Wales,Cessnock (C),1990,12
New South Wales,Cessnock (C),1991,9
New South Wales,Cessnock (C),1992,10
New South Wales,Cessnock (C),1993,219
New South Wales,Cessnock (C),1994,14
New South Wales,Cessnock (C),1995,32
New South Wales,Cessnock (C),1996,12
New South Wales,Cessnock (C),1997,58
New South Wales,Cessnock (C),1998,108
New South Wales,Cessnock (C),1999,82
New South Wales,Cessnock (C),2000,110
New South Wales,Cessnock (C),2001,30
New South Wales,Cessnock (C),2002,87
New South Wales,Cessnock (C),2003,87
New South Wales,Cessnock (C),2004,39
New South Wales,Cessnock (C),2005,94
New South Wales,Cessnock (C),2006,56
New South Wales,Cessnock (C),2007,74
New South Wales,Cessnock (C),2008,70
New South Wales,Cessnock (C),2009,90
New South Wales,Cessnock (C),2010,36
New South Wales,Cessnock (C),2011,40
New South Wales,Cessnock (C),2012,116
New South Wales,Cessnock (C),2013,59
New South Wales,Cessnock (C),2014,35
New South Wales,Cessnock (C),2015,44
New South Wales,Cessnock (C),2016,61
New South Wales,Cessnock (C),2017,74
New South Wales,Cessnock (C),2018,142
New South Wales,Cessnock (C),2019,193
New South Wales,Cessnock (C),2020,164
New South Wales,Cessnock (C),2021,155
New South Wales,Cessnock (C),2022,175
New South Wales,Cessnock (C),2023,244
New South Wales,Cessnock (C),2024,1029
New South Wales,Cessnock (C),2025,1574
New South Wales,Cessnock (C),2026,12
New South Wales,Clarence Valley (A),1990,78
New South Wales,Clarence Valley (A),1991,835
New South Wales,Clarence Valley (A),1992,529
New South Wales,Clarence Valley (A),1993,1289
New South Wales,Clarence Valley (A),1994,476
New South Wales,Clarence Valley (A),1995,100
New South Wales,Clarence Valley (A),1996,242
New South Wales,Clarence Valley (A),1997,840
New South Wales,Clarence Valley (A),1998,1058
New South Wales,Clarence Valley (A),1999,572
New South Wales,Clarence Valley (A),2000,364
New South Wales,Clarence Valley (A),2001,215
New South Wales,Clarence Valley (A),2002,167
New South Wales,Clarence Valley (A),2003,269
New South Wales,Clarence Valley (A),2004,138
New South Wales,Clarence Valley (A),2005,102
New South Wales,Clarence Valley (A),2006,286
New South Wales,Clarence Valley (A),2007,298
New South Wales,Clarence Valley (A),2008,190
New South Wales,Clarence Valley (A),2009,255
New South Wales,Clarence Valley (A),2010,205
New South Wales,Clarence Valley (A),2011,434
New South Wales,Clarence Valley (A),2012,373
New South Wales,Clarence Valley (A),2013,362
New South Wales,Clarence Valley (A),2014,264
New South Wales,Clarence Valley (A),2015,104
New South Wales,Clarence Valley (A),2016,208
New South Wales,Clarence Valley (A),2017,205
New South Wales,Clarence Valley (A),2018,434
New South Wales,Clarence Valley (A),2019,1182
New South Wales,Clarence Valley (A),2020,1124
New South Wales,Clarence Valley (A),2021,1173
New South Wales,Clarence Valley (A),2022,1037
New South Wales,Clarence Valley (A),2023,2736
New South Wales,Clarence Valley (A),2024,1573
New South Wales,Clarence Valley (A),2025,567
New South Wales,Clarence Valley (A),2026,91
New South Wales,Cooma-Monaro (A),1990,3
New South Wales,Cooma-Monaro (A),1991,17
New South Wales,Cooma-Monaro (A),1992,4
New South Wales,Cooma-Monaro (A),1993,32
New South Wales,Cooma-Monaro (A),1994,11
New South Wales,Cooma-Monaro (A),1995,4
New South Wales,Cooma-Monaro (A),1996,1
New South Wales,Cooma-Monaro (A),1997,31
New South Wales,Cooma-Monaro (A),1998,18
New South Wales,Cooma-Monaro (A),1999,14
New South Wales,Cooma-Monaro (A),2000,7
New South Wales,Cooma-Monaro (A),2001,21
New South Wales,Cooma-Monaro (A),2002,20
New South Wales,Cooma-Monaro (A),2003,76
New South Wales,Cooma-Monaro (A),2004,10
New South Wales,Cooma-Monaro (A),2005,17
New South Wales,Cooma-Monaro (A),2006,21
New South Wales,Cooma-Monaro (A),2007,13
New South Wales,Cooma-Monaro (A),2008,12
